video_name,generated_description
10.mp4," Костя, ты сейчас очень сильно целуешь себя. Ты сейчас гибкий, конечно.    Костя, ты сейчас очень гибкий.   Ты не можешь дальше продолжать участие в нашем проекте.     Я хочу это отдать Юнису.    Костя, ты сейчас Двое сейчас пойдут готовиться к бою на вылет.  Скажи, с кем из бойцов ты бы хотел разделить эту клетку?  потому что, как вы помните, Армен его передал Юнису.    Что вы будете есть?   Некоторые предполагали, что будем червяки есть, тараканы.    Кто будет проводить эксперимент?   Проводить эксперимент будет Роман Устюжанин вместе со своей командой.    Что Было ли такое, что вы занимались продажей женщин?  В моем бою после пропущенного удара со мной он мог встать. "
11.mp4," Родные, всем привет! Как и обещал, сейчас подогрею кого-то из вас одним айфоном 13 Pro.    А кому?  А вот кому.   Всем тем людям, которые выполнили условия и подписались на все каналы команды Pencilmash на Рутюбе,   мы дарим по одному айфон Что надо было сделать? Надо было сделать следующее.  Мы ссылку на этот пост загрузили в Telegram-бот и сейчас вот с помощью рандомного такого процесса  Без монтажа, Сань, все видно, да? А то люди у нас серьезно могут потом и предъявить.  Пожалуйста. И обладателем айфона становится... Тан-тан!    Тан-тан!  Тан-тан!  Тан-тан!  Я надеюсь, что ты существуешь, ну наверняка ты есть, поэтому открывай Директ,   там все Ну, я свое обещание выполнил, увидимся, что-то будет еще, посмотрим. Бабах!  Семья! Ну вы что? Встаем, просыпаемся, все. Кукарику, екала мэнэ.  Ты, кстати, следующей пятницу че делаешь? "
12.mp4," Всем привет, с вами шоу Хашлама .  Да, да-да-да-  А, да-да-да, ты че? Что с тобой плохой контент?    Да, да-да- Да, без икратка Коломидцева  Я думал все редкие буквы там спрятались  Это очень правильно, ведь мы выходим на Рутуб  Ты знаешь, с чем мы будем заниматься сегодня?    Да, я знаю.  (  Мы заказывали фаст-фуд, мы заказывали в ресторанах, все такое  )  (Смеется)  ( Поэтому можешь представиться зрителям той частью тела, которую они запомнили?  У меня есть лосины с покемонами  Мне даже страшно комментировать, потому что эта песня тоже моя "
13.mp4," Да, возможно, мне сейчас передоз, я сдыхаюсь из-за этого.    Да, я знаю.  Да, я знаю.  Да  Я ненавижу тебя, зомби, уходи!    Да, Ты что, не понимаешь флорусский?  В шоу «Пробы» попадают начинающие актёры.  Они ещё не знают, но впереди их ждёт необычный кастинг.  А, меня зовут Стерольда...    А, меня зовут Стерольда... ...  Это последняя хурма на свете, ты смотришь в камеру, всем в глаза,   и говоришь:  ""  Здравствуйте, Евгений, вы откуда, из Прибалтики?    И говорите marry me.  Вживайся в курицу, вживайся в курицу "
14.mp4," И станцуем, и споём, и поплачем, и посмеёмся , и поплачем, и посмеёмся.  Шаманизм, он как бы заразен , он как бы заразен.  Если бы не музыкант, был бы врачом  Ты хочешь знать откуда эти шрамы?  Спасибо вам, пожалуйста, сама  Надо мной летает вольный ветер ,  И хочется просто любить и дышать,   И хочется просто любить и дышать ,  И хочется просто любить и Такой, какой есть, и меня не сломать  И самое главное, что мы всё это будем делать одновременно  И для кого-то может быть тоже в жизни интересная ситуация "
15.mp4," Вдоль по улице, Ванюша, по широкой дружокой часа-то хожевала.    Как вторая Пасха?  Как вторая Масленица, как второе крещение, как...    Как второе рождение?  Как второе...   Как вторые похороны, я принцип понял. Дальше что?  Каждый год примерно в это время старейший олень сбрасывает свои рога,  Ну рога в доме же, они к счастью даешь.  Это просто важно, в чем я пойду.    А теперь давайте  поприветствуем нашего бессменного многократного чемпиона   мира по футболу.   Слышь, немец, я тебя не увижу.     Кто понял жизнь, тот счастье не ищет.    А теперь давайте попривет А теперь пришло время узнать, кто же будет самым счастливым "
16.mp4," На связующих шоу, в котором ведущий вместе с популярным гостем ищет номер звезды.    Кто произвел на тебя фурор?   Я не могу, у меня слезы из глаз.   Кто произвел на тебя фурор? Я общалась с ним на всю свою жизнь.  Кто произвел на тебя фурор?  Да, круто, очень весело.  Если бы кто-то рассказал маленькой девочке Алене из города Волокда,   что она станет телеведущей... ...  Я скажу тебе честно, я долго готовился к этому выпуску,   и мне было очень интересно.  Вот знаешь, детский азарт такой.   ... А всегда было время, когда не было каких-то вот этих мессенджеров,  Кто первый тебе приходит на ум? "
17.mp4," На связующих. Шоу, в котором ведущий вместе с популярным гостем ищет номер звезды.    -  Сашенька, а где мой клип новый?    -Не знаю.  -  Ну слушай, ну когда-нибудь тебя можно будет увидеть в тиктоке.    -Не знаю.  - Как тебе эмоции от ЧБД?  Ну Крит держится, держится.  И это его номер, Александра Гудкова.    ""  По классике, зарядим, зарядим, зарядим, зарядим, все, все, все, все.    ""  Я стараюсь выглядеть хорошо.    ""  И сегодня, я думаю, у нас есть все шансы,   чтобы выиграть.  "" "" "" "" "" Да, нормально я, как бы, ну... "
18.mp4," Скажите, какая книжка здесь самая взрослая?    «  Поведите себя прилично, босиком не ходим.    Что вы здесь делаете?  «  Что вы здесь делаете?    «Что вы здесь делаете Это способ уйти от реальности.  Ну а если, например, у вас веселье дома,  и вы ищете спокойствие и новых впечатлений,   то мы знаем,  где можно спокойно поработать и провести время, как всегда,     бесплатно и за деньги.    Мы ждем вас в нашем офисе.  _ Часы работы со вторника по пятницу с 13 до 21,  в субботу с 12 до 20, "
19.mp4," они достанут все скелеты из вашей шкафу конечно если шкафу нету и доставать ничего, но если вам есть что скрывать то все   будет очень даже не плохо если вы не  детектив кристи краем и не умолчили вы вдруг залезут вам в душу   и начнут копаться в ней  вы смотрите шоу с детектором лжи ?  в смоленске 23 мая 2001 года тикток блогер участник dream team house давайте его поприветствуем  не сюда сделать ты просто ты просто молодец что ты вот такой леш ну так рассказывай страшно  снялась таких популярных сериал да вы не знаете ладно они там больше на телефон и для себя но это   не значит что я не снимаюсь в кино   ложью у тебя есть парень или ты просто боишься забеременеть у меня нет парня я не боюсь   забеременеть  я не снимаюсь а мы просто как-то можем где-то помочь написать сценарий для съемки и так далее но так чтобы  допустим есть продакшн у меня есть допустим менеджер кто-то вот по ходу из продакшна ну допустим  двигаются да возможно как-то страничку бы свалила но я настолько этого не делаю что я даже с ними "
20.mp4," Мы начинаем. Да, я Семен. Да, ты сказал правильное мое имя. Это шоу «Валка Мафия». Шоу, где шот реально убивает. А я его ведущий, Семен Голов.    А можно вопрос?  Можно.   Только один тебе, пожалуй, руку.   А почему?   Натан сам проявил инициативу.   А А можно вопрос, почему мне никто руку не пожал?  Я хотел, я к людям так сделал и сказали стоп.  А, и все, да? Это тебя остановило? Только стоп?    Да.  Когда ты это понял?   Когда? Месяца два назад, но, знаешь как, я уже немножко на опыте.    А, мафия?  Супер. Видно ты играл в нее.  Мафии, чтобы выгнать человека, нужно минимум два раза попасть в одного и того же человека.  Это суть мафии. Понятно, надеюсь, всем. "
21.mp4," Всем привет! Меня зовут Марина Дворникова. Я мама троих детей и успешный блогер.    Меня часто спрашивают о детских садах.   Я помогу вам разобраться в трудных и спорных ситуациях.    Сегодня поговорим о детском саду. Как встать на очередь? Какие документы нужны? И может ли детский сад отказать в приеме малыша?  Каждый ребенок имеет право на бесплатное дошкольное образование. Это прописано в 43 статье Конституции.  Чтобы попасть в детский сад, необходимо встать на очередь.  При этом не важно, есть ли у вас прописка или регистрация в городе, в котором вы хотите отдать ребенка в сад.    Как встать на очередь в детский сад?   Сделать это можно как лично в детском саду МФЦ или Управление образования, так и через портал Госуслуг.    Для этого необходимо написать заявление. Конечно, там указываются данные родителя и ребенка, просьба о постановке на учет для зачисления в детский сад,  К заявлению необходимо также приложить копию паспорта, копию свидетельства о рождении ребенка  Бывают случаи, когда ваша очередь смещается назад. "
22.mp4," Вода. Без нее бы не было жизни на Земле.    Вода - это жизнь.  Она есть просто везде. В воздухе, в океанах, в снегу.     А откуда она вообще взялась? Интересно.    Вода - это жизнь.  Люди, растения, воздух и даже песок в пустыне и камни в горе   - все Еще бы! Ведь она покрывает две трети нашей поверхности.  жидкая форма льда и газа.    Вода есть везде.   Только в другом виде.    Вода — это жизнь.  Вода — это жизнь Но так ли вода редка во Вселенной?  Как нас учили в школе, вода состоит из двух атомов водорода  Но спустя примерно 380 тысяч лет после большого взрыва "
23.mp4," Ох, затоксицировали. Наконец-то у нас будут ругать в прямом эфире.    - _  Слушай, пердежи в банках продаются.  _  - _  Давайте я снова проиграю, и всё, снова ко мне придётся.  _  - _  Настоящий тепловоз стоит миллион двести семьдесят пять тысяч рублей.  _ Полёт на истребителе L-39 стоит шестьдесят тысяч рублей.  Ну а олень и рога?    Сколько стоит олень?   Семь тысяч рублей. Вы спросите, откуда я всё это знаю?    Я тебе скажу.   Да? Ой, хочешь ещё скажу? Привет!    В Норвегии Все настоящие мужики там её носят.  Что-то мне подсказывает, что у нас сегодня будет очень "
24.mp4," Родители заставляют тебя посещать в неклассные занятия, которые тебе не нравятся?    Да, заставляют.   Представляю, как это может быть тяжело.     Не надо, где же художка?    Не знаю.  _  Для начала нужно понять, почему занятия тебе не нравятся.  _ Может быть, дело в преподавателе?  Отсутствие общего языка с педагогом легко может отбить желание заниматься любимым хобби.    Но...  Может быть желание бросить все появляется, потому что у тебя просто не получается?    Или ты устала?   Или тебе просто хочется ходить в другой кружок?    Или ты думаешь: ""  Так, сейчас волейбол, а затем пинг-понг, а потом...  Поэтому, если мама или папа категорически против того, чтобы ты бросала занятия, "
25.mp4," Привет, маяшкины, с вами тикток-шоу, и я Настя Витонова.    Всем привет!  Сейчас я вам расскажу все новости самой популярной   социальной сети в мире.  1.  Маркетологи собрали интересную статистику за этот год,   и вот что они 69% пользователей предпочитают смотреть короткие видеоролики.  Аня по кровь намекнула, что Даня Мелохин и Женя Медведева  Как говорит блогерша, Даня постоянно говорит про фигуристку,   а я про блогершу.  Кажется, у нас создается новая пара, интересно, получится   ли у нас?  ""  Моя первая любовь звали Саша, я тогда плакала даже,   а сейчас сме Под взгляды удивленных пассажиров выходим на небольшую  Здесь есть кабина дежурного, электроподстанция, вентиляционная "
26.mp4," Привет, подруга! Ты перевелась в другую школу? О, я представляю твоё волнение. Новое место,   новые учителя, новые-  незнакомые люди. Но есть у меня пару советов, как найти общий язык с одноклассниками и учителями.    1. Не бойся знакомиться.  В этом деле самое главное — не бояться. Это же, наоборот, интересно. Новые люди и знакомство —   это всегда интересно. А сейчас мы будем знакомиться с нашими новенькими. Аня. Всем привет, меня зовут Аня и я очень люблю  много всего люблю и делаю постоянно. У меня есть мама, папа, у меня есть брат, у меня кошка, собачка.  почему ты перевелась в эту школу? Ну и, конечно же, будь дружелюбный и приветливый. Например,   если ты хочешь познакомиться с учителем, то каждый  делает это по-своему. Тебе в этой ситуации тоже нужно вести себя правильно. При знакомстве с   учителем можно использовать два способа.  Первый Второй способ. Хвастаться. Многие, чтобы произвести хорошие впечатления, хвастаются. Они думают,  потому что считают, что так они показывают свою глупость, но это ошибочное мнение. Учителя  Педагоги любят, когда к их предмету проявляют интерес. Но вопросы должны быть по делу и следи, "
27.mp4," Как я могу хотеть того, что у меня никогда в жизни не было?     Потому что я переживаю, что моя вагина испортится.    Да, они там...  Да, они там борщи варят, они там данки...    Да, они там...  Пояснительная бригада в здании.    Да Послушай, ты у нас, Фидель, сегодня символизируешь добро, ты зло.  Я в начале нашего немножечко беседы поняла, что не обязательно.    ""  Когда у тебя закончатся статусы из ВКонтакте,   ты поймешь, что...""  ""  То есть мы изначально ставим проблему так, что...   ""  ""  Разговор не о том, чтобы... о личности.   ""  "" Я тебе хочу сказать, дорогая моя, что разница между нами и мужиками "
28.mp4," И вам наша, и вам наша. Это Арт-механика.    Это круто.  Например, я теперь не просто складываю зимнюю резину на балконе,   как раньше,  а это полноценный перформанс.    Это круто.  И не дает мне забыть о том, что я арт-механический ведущий .  Это круто Влад Маленко, моя несравненная помощница Олечка.  Друзья, вы меня поймете, наверное.    Я вот думаю,  ну почему меня вот так далеко поставили от вас,   почему расстояние между нами такое большое?  во всем мире вот одинаковое, из чем это связано?    Я думаю, но это все-таки связано с неким вестибулярным аппаратом лошади,  Как вы сами оказались в этом удивительном, сложном мире, "
29.mp4," Значит нам в отдел выдали новое транспортное средство. Сами посмотрите. Помощнее чем Бобик будет, потому что Бобик не ездит.    Заполни пробелы:   Вперед хотя бы двигается, уверенно. Тихо-тихо. Немножко. А спросите, почему Бобик у нас не ездит?   Потому что он не умеет.  Запол Будем тут подачам двигаться. Смотри, что там. Никто не воровал.  Ты так нельзя говорить.  Давай там, не гунди. Все. Пошли патрулировать.  Не, я, честно, вообще не знаю, что у нас сегодня за день такой в отделе.    -  Откуда? Откуда ты знаешь?    -Ну я же тут работаю.  -  Ну чтоб тут все было чистенько, все хорошо,   все было хорошо. Если вам понравилось это видос, обязательно подписывайтесь на канал,  интересного. А еще больше всего интересного "
30.mp4," Прибыли на пруд, который называется у Петровича. Платный водоем в нашей области, разбираем вещи,   потихонечку-  потихонечку начинаем рыбачить. Нам вот организовали такое место, посмотрите здесь, из катушки. Стол   накрыли, потихонечку-  потихонечку сейчас разогреет. Прохладно, сейчас кофту еще одну надену. А я думаю,   что это не так сказать. Сейчас покажу свой чемоданчик, подготовленный на сегодняшний рыбалку по хищнику.  строй человек, который кормил всю эту бригаду, который сегодня будет с хорошим настроением и  которые мы взяли, чтобы не испачкаться. Будем думать дальше, пока это слабенько.    Не  явный лидер чай от Дениса Сундукова. На этом чане церемония с Максимом Назаром подошла к концу.    Подписывайтесь на канал  Ставьте лайки. Рыбак мой. Ну, Егор, уже листик, это хоть что-то ты поймал. Понимаешь, это уже приятно.    Да, я был  с ним. Я взял спиннинг его, достал этот мэпс, он обрадовался, подарил счастье человеку и сразу же   ушел.  Значит, перемещаемся ближе к хвосту водоема, где больше кустов. "
31.mp4," Эта история началась с того что я Лизе хотел сделать приятно. Но что то в этой истории пошло не так.    «  Что, вы кричите совсем?   Я же не глухой!»  «  Ой, Ризон, извини, пожалуйста, я просто хотел тебе это приятно сделать, а тут Денис мне приятно сделал горячник забил!   Я не хотел!»  «  «Каждую пятницу по бабам».  У нас там в холодильнике полно еды.  Лизон, ну правда, не первый января, не новый,   не новый год, не новый год.  В общем, сегодня мы с моими родителями знакомимся.    Лизон,  покупаем маркер, вот так вот тебе разрисовываем,   а потом ты мне Родной, вот этот пакет, конечно,  У Андрюха есть Инстаграм, "
32.mp4," Каменный, бронзовый, железный век.    Полимеры.  Полимеры.  Примерно 100 лет назад человечество вступило в век синтетических полимеров.    Полимеры.  Пол Окна, полы, двери, да и в конце концов вся ваша мебель. Ну, почти.  Так что же такое полимеры? И откуда они взялись?  Сегодня на примере привычных нам пластикового стаканчика и маленькой резинки  Как химическим путем его получают.    Как его получают.   Сейчас с отводом, наверное, скорее всего делается.    Как его получают.  ""  Немецкий химик Герман Штаундингер предположил, что он состоит из очень длинных макромолекул,   похожих на целлю составляющее основы деревьев и большинства растений.  и затем сгорают в комфортках домашних плит "
33.mp4," Наташа, вот я почему вместо тебя должна тащить такое транспортное средство?    Наташа, ты что, не можешь?   Это что за ступа, ведьма?    Это не ступы.  Это шоу о том, как сделать ремонт без ремонта.  Как своими силами преобразить квартиру без бригады рабочих,  без пыли и без большого бюджета?  Это, конечно, смелое решение, синяя стена.     Тут какой-то прям кричащий, все орет.     Слушай, орет на тебя этот вот этот вот красный пятно,   а ты не реагируешь.   И несмотря на свой цвет, именно она задаст здесь основной ритм .   Зебру в интерьер загнали?    А что"
34.mp4," Всем привет! Вы смотрите шоу «Какого Меркурия?»   на канале «Пятница».  Если вы потерялись и не знаете, как найти наше шоу, то ориентируйтесь по мху.    Он растет на краю болота.  Там либо выход, либо мы!    А Мы все также пытаемся разобраться, возможно ли вот так взять и угадать знак зодиака человека  по очень маленькой информации о нем.  Лицом он похож на человека из XIX века, который мог бы погибнуть в любой дуэли.    Обидно, да?  Да, это действительно обидно.    Как вы себя чувствуете?  Я прекрасно, мне все нравится.    Как вы себя Ну что ж, пришло время узнать вам правила нашего шоу.  А если две сплошных, одна из них быстро стирается "
35.mp4,"конверт , конверт ( другое  ), конверт ( стол  ), конверт ( вертушка  ), конверт ( веб-сайт  ), конвертластик , кресло , точилка , спичка , стул ,стол.</s>"
36.mp4," Будете конец друг за другом, стрелять.     Самая меткая команда уедет.    «  Привет, братва! Это 1000 долларов шоу, и я его ведущий, Дима Гордей.    _  Его аудитория в почти 7 миллионов подписчиков не раз убеждалась в том,   что автомобиль – это круто. _  И что любое средство передвижения – это не только практично, но и весело.  Есть Варик поднять реальные деньги. Что, как настрой?    А давайте за ними погоняемся?  С женами даже, да.    А давайте! ...  Давайте сейчас решим, кто будет гоняться первый. Есть у кого-то желание?    Раз, два, три, четыре, пять, шесть, семь, восемь, девять.  А, не-не, все, стойте, они уже... "
37.mp4," Скажите, а вы пришли с нами?    А вы пришли с нами?  ""  Давай, я буду завыгнаться.    Я пришла с друзьями.  С друзьями, с детьми.    И в Москве есть огромное количество мест,  Покажу те места, где достаточно безлюдно  И этот выходной вы проведете вместе со мной.    В городе есть три катка,  на 1200 квадратных метров.    И все они работают в субботу.  Все катки открываются с 10 до 11 утра  и закрываются в 22.00.  Очень хорошо, нам очень... "
38.mp4," Привет, я Алиса. Человек, который однажды столкнулся с ремонтом, решится на вторую еще нескоро.   Но мы знаем, как это исправить.  Это шоу о том, как сделать ремонт без ремонта.    Как это?  Они не делают ремонт Используют только декор и дизайнерские лайфхаки.  А ты видела вот сзади нас какой ночной город?  Легко. Это Нью-Йорк, например, а вот это Чайна-Таун.  Нет, я просто изучила те вещи, которые остались после него,   и решила их продать.   Кстати, в этих стеллажах мы также навели порядок,   и теперь там все аккуратно.   Такие красивые темно-синее-бархатные портеры.    Карниз новый, он стоит полторы тысячи рублей,  Как захолустье превратить в город мечты? "
39.mp4," Дядьки, вы понимаете, что мы сейчас скажем всё тупыми?    Да, бро.   Так они в рот, бро.    Да, бро. ...  Килограмм сорока сантиметровых волос был продан за 60 тысяч рублей.   ...  Вы спросите, откуда я это знаю?  Вы меня спросите, а где же наши участницы?  Честно говоря, я думала, он такой, Криси Крайм, как Деваем Катюша.    Криси Крайм, участница их со тимм Чана  Участница их со тимм Чана, участница фулхауса Катюша .  Наша игра очень проста. Мы сыграем три раунда. Во время раундов вы купите баллы.  Ты еще сказала с чем-то.  И рейтинг 5 звезд. "
40.mp4," Ну что ж, дамы и господа, добро пожаловать на аукцион!    Аукцион - это  Шоу, в котором подписчики делают ставки за вещи своего   друга.  Правила аукциона:  1.  Сделать ставку может каждый сидящий в зале.    В качестве ставки принимается все, кроме денег.  Еще не А4, но уже не А3, Егорик Шкред!  Это молоточек, он не настоящий, да?    Это молоточек, да?  Это молоточек  Что единственное, что игрушечное, что здесь присутствует,   это 5 вещей- молотов, вещей близких, тебе, а точнее, 5 вещей, которые  Благо, у нас здесь огромное количество, их здесь сегодня  У нас сегодня здесь намного жестче будут испытания, "
41.mp4," Йоу, Мишаня, вот эта песня мне пох, просто вообще бомба.     Скандальность, фриковатость, она вызывает конфликт.     Я прям тебя слушаю.     Ни ко всем, вкус вернулся.     Все гости приносят свои фирменные рецепты.   Я не знаю, У нас на столе курица, помидорки, черри, огурцы,   лук, чеснок, зелень.  Самый богатый источник белка, куда же без него?    Белок?  То есть мы белок с белком готовим?    Да, это так. Плюс я перфекционист сам себе по натуре,  Всегда ведь круто, когда на тарелке все красиво лежит, "
42.mp4," Всем привет! Это очередной выпуск. Пойдем, отойдем.    Подождите, подождите.  Подождите, подождите. Вы куда?    Куда?  Куда?   К Сундукову. Иду к Сундукову. Я его больше не прощу никогда.    Никогда Я его за что только не прощал этого Сундукова.  Я думал, вот снега намело.  Ладно у меня на день рождения вместо свечек петарды в торт ставил.    А сейчас что случилось?   Вот так вот. Я думал, у меня пудку разорвало, как ромашку.     А сейчас-то что случилось?   А сейчас я его убью.  Так что все. Я сейчас с гранатомета по нему шмальну.  Все, все, хватит, хватит. "
43.mp4," Так, смотрите, я рак по знаку Зодиака. Есть кто тоже повезло? Кому похлопайте, пожалуйста.    Я рак.  Я рак.   Ну, вот второй вопрос после как тебя зовут, тот по знаку Зодиака.    Я рак.  Я рак. И я столкнулся с тем, что когда я говорю рак, мне очень часто прилетало типа...  Не у меня рак. Слышишь, я рак. Расскажи, в чем дело. Что произошло вдруг?  Я стою просто таку, у меня тайна от вас есть, ребят.  Это моя загадочность. Это единственное, что более-менее понятно.    И дальше идет, что я очень добрый человек.  Смотрите, но еще из положительных черт, из положительных черт, приятно было прочитать про себя,   что я очень добрый человек. И дальше идет, что я обидчивый и злопамятный человек.  Стать частью группы. Я так понял, для этого не нужно  Потому что, если я буду верить в гороскопы, "
44.mp4," Друзья, всем привет. Тут такое дело. Я вам давно хотела сказать, но я очень-очень сменивалась.    В общем, у меня есть подозрение, что  В общем, у меня есть подозрение, что Андрюша ей. Нет, ну вы сами подумайте. Вот он у Тяпа ночевал, ночевал.     С ухом, с проколотом ходил, ходил еще, я его постоянно пьет. А еще, с бабой его тоже никто ни разу не видел.    А тут я прих Что вы тут делаете? Что-что? Андрюху я кормлю, что мы делаем? А он сам не в состоянии поесть?  Что мы тут делаем? Короче, шляпа такая произошла. Андрюхе повестка пришла, осенний же призыв.  Пират, что ли? Андрюх, пират. Да ну не. А кто?   Ну, не знаю.  Мы просто первые заходим, все пиво нормальное забираем, а ему только это , имя, фамилию, и еще это,  короче, и еще даже это, дату рождения. Потом будет все на одну лицу.    А А вы че тут делаете, Андрей?  Извините, а вы что здесь делаете? "
45.mp4,"ресторан , одежда , кинотеатр , гитара , лампа ,телевизор.</s>ТВ  - обложка , ТВ- другое , ТВ- здание , ТВ- червь , ТВ-</s>"
