video_name,stt_name,category_name,title,description
20.mp4,20.txt,Развлечения,Стендап гороскоп: Настя Веневитина - Овны,"В первом выпуске шоу “Стендап гороскоп” Настя Веневитина расскажет про то, как непросто быть Овном, и что ждет представителей знака в 2022"
21.mp4,21.txt,Блоги,Хашлама | Выпуск 7 I Идеальный мужчина для Витоновой | Измены | Контент Насти | The Pancho Factory,"В гости к Авету пришла Анастасия Витонова. Мы посмотрели пару веселых видео с ТикТока и одно самое милое видео в мире про котят! Потом создали список качеств для идеального парня Витоновой. И поехала жара! Контент самой Насти! Социальные ролики, викторины, влог на ютуб, первый сериал Насти и первый трек Насти. Короче, жаришка. Оставляйте комментарии, пишите нам в соцсети, да и просто радуйтесь. Поели в The Pancho Factory. Это реально вкусно. Мы потом доели эклеры  - огонь! Безе нам не понравились, но среди нас не было фанатов безе. Так что мы советуем.  / / Сотрудничество: email"
22.mp4,22.txt,Видеоигры,PVP #8 I Маелшторм VS Кристалмей,"Комментаторы Маелшторм и Кристалмей анализируют текущую мету киберспортивной доты, выясняют почему СНГ тащит, а затем слетают с катушек в кастомке Hadcore Ninja!"
23.mp4,23.txt,Спорт/Игры,Три лошадиные силы | Выпуск №3,"Новый третий выпуск! И вновь нас ждут безумные гоночные челленджи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе?    Ставь лайки, пиши комментарии и подписывайся!    Агабекян Авет ...  Саша Стоун /  Макс Игумнов /    #челленджи #челленджи2021"
24.mp4,24.txt,Юмор,Пойдём отойдём I #12I Сундук запер соседа в туалете. Деревенские поссорились. Пойдём отойдём.,"Москвич решил сделать подарок Сундуку, но увидел, как тот закрыл в туалете своего соседа. Конечно же, этот инцидент не прошел стороной Начальника, который делал всё, что бы их помирить. А что получилось в итоге вы узнаете в этой серии!"
25.mp4,25.txt,Спорт,Роман Юнусов и популярный озвучер Карен Арутюнов попали в клуб богачей,"В новом выпуске шоу «Спортивный Интерес» Рома Юнусов и Карен Арутюнов почувствуют себя богатеями или даже мафиози. А всё потому, что им предстоит освоить вид спорта, куда без членства в клубе не попасть. Да, мы отправили героев на поле для гольфа. Солнце, трава, песок, клюшка - вот неполный список того, что мешало ребятам бить по мячу. Ну, а кто выполнил драйв и прошёл лунку быстрее оппонента, ты узнаешь, посмотрев выпуск до конца."
26.mp4,26.txt,Блоги,Варя в космосе | Выпуск 1 | Спутник-жертва,Нас ждёт столкновение с астероидом? Любители находят новые галактики? Почему все летят на южный полюс Луны? Привет! Это первый выпуск «Варя в космосе». И здесь мы обсуждаем самые интересные космические события недели!
27.mp4,27.txt,Путешествия,Один выходной | Выпуск 11 | 14 февраля,"День Святого Валентина можно любить или не очень. Но немного романтики не помешает никому. Сегодня Ташэ расскажу как праздновать день всех Влюбленных, чтоб не разориться на сюрпризах и удивить свою вторую половинку или если вы одиноки порадовать себя любимого."
28.mp4,28.txt,Лайфстайл,PykoJob | Выпуск 4 | Уютная гостиная с небольшим бюджетом,Ведущая Алиса и дизайнер Наталья показывают как можно от одного  предмета выстроить целый интерьер и уложиться в 25 тысяч рублей. Смотрите лайфхаки и советы для создания уюта в новом выпуске Рукоджоб!
29.mp4,29.txt,Развлечения,Женский труд | Девушки делают грязь | Выпуск 4,Две красотки за тридцать тысяч рублей пытаются сделать глиняный чайник.
30.mp4,30.txt,Блоги,TikTok Дайджест | Выпуск 3,"Встречайте свежий выпуск с Настей Витоновой. Свежие сплетни, актуальные тренды, интересные новости - смотрите, внимайте, обожайте!"
31.mp4,31.txt,Авто-мото,DSC OFF на Байкальской миле 2020,"ГАЗ-24 «Волга КГБ» — проект Гурама Инцкирвели, ведущего канала DSC Off о быстрых автомобилях. Это действительно серьезная машина мощностью более 700 лошадиных сил с двигателем 2JZ GTE. Показать действительно высокую скорость Волге помешала поломка. И все же зафиксированный результат — 225,57 км/ч и шестая строчка в автомобильном зачете."
32.mp4,32.txt,Охота и рыбалка,Люди у которых клюет I # 2I Рыбалка в Турции,"Сундук и Вадим на отдыхе в Турции отправились на рыбалку. Съездили за форелью, а также на морскую рыбалку. Что мы наловили, смотрите в видео!"
33.mp4,33.txt,Кулинария,Домашняя кухня от шефа: Выпуск №6,"Боитесь покупать шаурму в ларьках и около вокзалов? Не стоит больше беспокоиться! Ведь Саша Белькович делится рецептом фантастической домашней шавермы. В этом выпуске вы найдете способ приготовления нежнейшего соуса, правильную мариновку курицы, а также идеальные пропорции ингредиентов для сбалансированной шавермы. Такую не найдешь даже в Питере!"
34.mp4,34.txt,Развлечения,Тру ДЕТЕКТОР I #11,"Вы смотрите шоу с детектором лжи «Тру ДЕТЕКТОР». Шоу, в котором Кристи Крайм и её молчаливый друг приглашают в гости известных людей и задают им неудобные вопросы под пристальным взором полиграфа. В этом выпуске в логово Кристи и Мистера Молчуна попал Эмиль и его друзья. Эмиль рассказал... Что скрывают звёзды и их ближайшее окружение? Какие вопросы они зададут друг другу? И кто окажется самым лживым в компании. Все это узнаете в шоу Тру Детектор!"
35.mp4,35.txt,Юмор,Смехмашина | Выпуск 4,"Говорят, что девушки не умеют рассказывать анекдоты. А вот сегодня мы и проверим правда это или нет! Сможет ли Таня рассмешить таксиста и разорить Сундука и Антона на кругленькую сумму? Или ей придётся впервые заплатить в такси за парней, да ещё и целых 5000 рублей? Смотри в этом выпуске!"
36.mp4,36.txt,Кулинария,Домашняя кухня от шефа: Выпуск №9,"Праздники удались на славу, и единственное желание - это горяченький суп? Саша Белькович спасет вас своими похмельными щами! В этом выпуске вы найдете настоящий рецепт-спасение: вкусный суп на основе квашеной капусты всего за 30 минут - идеальное средство от похмелья."
37.mp4,37.txt,Юмор,Смехмашина | Выпуск 10,"Подписывайся на все наши каналы на Rutube, находи слово спрятанное в видео и пиши его в комментариях под постом в Instagram. Может быть именно ты заберёшь iPhone 13 Pro. Ссылки на наши каналы: Антон Протеинов - / Люди у которых клюёт - / Пацанский клининг - / Пойдём отойдём - / ПОЛУПАНОВЫ - / Тот Самый Мент - / Тяпа - / Шляпа - / Максим Народный - /  Ссылка на пост в Инстаграм: /  Это шоу «Смехмашина»! В котором принимает участие Сундук, Танюха и Джо. Конкуренция будет бешенной, это мы вам обещаем. В этом выпуске будут мужские, женские и американские анекдоты! Кто сможет победить, даже не представляю! Поэтому погнали вместе со мной смотреть этот выпуск!"
38.mp4,38.txt,Юмор,Пойдём отойдём I #10I Деревенский 10 лет не платил за коммунальные услуги. Нагрянули приставы.,"Сундук не платил за коммунальные услуги десять лет. Это не могло остаться без внимания начальника и судебных приставов, которые решили забрать у Сундука все самое ценное. Сможет ли Сундук просто так отдать своё имущество вы узнаете в этой серии!"
39.mp4,39.txt,Детям,Лесенка знаний: мастерство I 5 серия I Садовник,"Артур расстроен тем, что Макс растоптал на клумбе любимые цветы мамы. Он переместит Лизу и Макса в прошлое, чтобы они узнали, как спасти цветы. Там они встретят садовника, который научит детей ухаживать за цветами и раскроет свой секрет."
40.mp4,40.txt,Развлечения,Фея-Крёстная | №6 | Алиса,"В этом выпуске Рабиа Халилли попробует помочь Алисе. Алиса – начинающий блогер. Выглядеть всегда хорошо – непоколебимая обязанность каждой девушки в медиасфере. Уже завтра состоится рождественский бал – очень важное для Алисы мероприятие. У девушки очень необычная внешность, ей сложно представить себя на рождественском балу, а тем более подобрать платье, которое не только будет подходить под ее образ, но и выгодно смотреться в такой женственной обстановке, как бал. Так и не найдя ничего, что могло бы ей подойти и уже думая отказаться принимать участие, Алиса обращается за помощью в проект «Фея Крестная». Смогут ли портные справиться с таким образом за ночь?"
41.mp4,41.txt,Юмор,Смехмашина | Выпуск 9,"Соскучились, мы по вам тоже, поэтому ловите новый выпуск «СМЕХМАШИНЫ» в этом году! В котором принимает участие Сундук, Антон , Артём и водитель такси, который рассказал свои анекдоты нашим участникам. Как наши герои отреагировали на них и кто стал обладателям 15000 тысяч рублей, ты узнаешь в этом выпуске!"
42.mp4,42.txt,Юмор,Смехмашина | Выпуск 8,"Бам, бам, это Новогодний выпуск Смехмашины! В котором принимает участие Сундук, Макс и Андрюха, а так же самый жесткий водитель, который оценил один из анекдотов в 0 баллов. Вы представляете? Но, не смотря на это, участники подарили водителю крутой новогодний подарок! А что за подарок и кто смог победить в Новогоднем выпуске, смотри прямо сейчас!"
43.mp4,43.txt,Музыка,МузЛофт - концерт | Кирилл Туриченко. Про съемки в фильме для взрослых и новом ведущем МузЛофт,"Сегодня у нас в гостях голос группы Иванушки Интернейшнл, Носорог в прошлом и мировая знаменитость в будущем - Кирилл Туриченко. Спели сольные хиты Кирилла, поговорили о новогодних планах. Хочешь подробностей? Тогда скорее смотри выпуск. А еще обязательно задавайте в комментариях вопросы Кириллу для будущих съемок в МузЛофт. По вопросам рекламы пишите на email"
44.mp4,44.txt,Развлечения,Антон Протеинов I #1 IКак накачать все мышцы за один час!!!,"В этой серии Легенда ворк-аута Антон Протеинов познакомит вас с новыми мышцами в человеческом организме, научит приседать, отжиматься и любить Россию."
45.mp4,45.txt,Блоги,"Поверь мне, подруга I #7 I Мне кажется, я влюбилась","В этом выпуске ты узнаешь, что такое любовь и как правильно строить отношения. Аня Хилькевич расскажет о своем опыте подростковых отношений и докажет тебе, что даже несчастная любовь – это тоже полезный опыт"
46.mp4,46.txt,Спорт,BAIKAL MILE 2019,"С 15 по 17 марта 2019 года на льду озера Байкал впервые прошел фестиваль скорости «Байкальская миля». В село Максимиха Баргузинского района Бурятии приехало более 30 участников со всей России со своими мотоциклами, спорткарами, картами и багги. В ходе заездов на специально оборудованных ледяных трассах было установлено несколько уникальных рекордных показателей.  Видео студии  Script.Shot.Sound"
47.mp4,47.txt,Новости и СМИ,МультНайтШоу. Выпуск 7. В гостях Нагиев. Ю вонт э скандал нау?,"МультНайтШоу – еженедельное юмористическое нарисованное вечернее шоу, где обсуждаются актуальные новости страны и мира. В этом выпуске мы пригласим в студию Нагиева,  увидим дебаты новогодних фильмов про елки, а также...ю вонт э скандал нау. По вопросам рекламы пишите на email"
48.mp4,48.txt,Интервью,Выпуск 1 | Часть 1 Вася Шакулин о своём половом воспитании  | О чем молчат мужчины?,"Добро пожаловать на шоу «О чем молчат мужчины». Здесь парни говорят о том, о чем им не принято говорить.  В этом выпуске вместе с Васей Шакулиным мы говорили о Половом воспитании у парней. Каким оно было? Нужно ли говорить с ребёнком об этом? Делимся Личными истории и личным опытом.  Гость выпуска: Вася Шакулин -   Жора -  Оксана -  Денис -  Иван - /  Илья -   Самые откровенные темы, самые актуальные вопросы. На этом канале только чистая, мужская правда."
49.mp4,49.txt,Путешествия,Прогулка по стране - Сочи,"Прогулка по самому знаменитому курорту России, единственному в России субтропическому городу-Сочи. Предлагаем вместе с нами оценить самые интересные места и достопримечательности курорта, не отвлекаясь ни на что лишнее."
50.mp4,50.txt,Кулинария,Шеф I Выпуск 1 I Картофельные шарики с сыром,"В этом выпуске Шеф, Павел Коклюшкин приготовит быструю, вкусную и очень выгодную закуску – картофельные шарики с сырной начинкой под сливочно- грибным соусом"
51.mp4,51.txt,Спорт,Джигурда vs Шпак. Жесткий нокаут. Конфликт  Била и Вадимыча. Каримов Шульский. Чемпионский бой,"Блогерское агентство Insight -  Прошла конференция, разговоры окончены, настало время расставить точки над i. Очередная порция зрелищных боев от «Наше Дело». Вадим Вадимыч против Ивана Эфирова несмотря на то, что парни непрофессионалы, они показали достойный бой. А вот следующая пара бойцов - самые, что ни на есть звери в клетке. Иван Майданчук и Николай Савилов показали самый неоднозначный бой, как это получилось судите сами. Состоялся чемпионский бой в супертяжелом весе между бойцом «Наше Дело» Исламом Каримовым и бойцом «ТопДог» Павлом Шульским. Парни явно не жалели друг друга и устроили жесточайшую битву, но пояс заберет только один. Ну и битва духовной вертикали против горизонтального прагматизма. Никита Джигурда и Александр Шпак устроили эмоциональные качели, это однозначно один из самых зрелищных боев не только Никиты Борисовича, но и всего карда. Вы, очевидно, получите удовольствие и даже пересмотрите этот бой. Приятного просмотра. YouTube канал Наше дело -  Instagram Артура  -   Instagram Била  -  Сотрудничество - email  Реклама - email  Хочешь попасть в Шоу Наше Дело? - Присылай заявку на почту email  (В заявке необходимо указать: ФИО, рост, возраст, вес, гражданство, город, фото, ссылка на instagram, телефон)  #НашеДело  #НикитаДжигурда #Шпак"
52.mp4,52.txt,Музыка,"МузЛофт - Концерт | Митя Фомин. О цикличности музыки, ""Звёздах в Африке"" и «Всё будет хорошо»","В этом выпуске Стас, Митя и музыканты вспомнят 80-е, споют «Седьмой лепесток» в разных жанрах, а ещё… Смотрите скорее выпуск, чтобы узнать, что ещё!"
53.mp4,53.txt,Блоги,TikTok Дайджест I Выпуск 7 I 90 МИЛЛИОНОВ ЗА АККАУНТ I ДИЛАРА И ФОТОШОП I ТАНЦЫ ИЗ РЕКОВ,"В выпуске трендовые танцы, новые маски от популярной платформы, смешные советы подруг и актуальные новости про нового парня Клавы Коки и Дилару, которую обвиняют в фотошопе фотографий в сетях."
54.mp4,54.txt,Юмор,ВЫПУСК №1 НЕУДОБНЫЙ СТЕНДАП,"В этом выпуске - Зоя Куулар, Кирилл Мазур и Рамис Ахметов проверят себя на прочность и выступят перед случайными людьми на остановке, в пешеходном переходе и возле зоопарка. Посмотрим у кого будут самые щедрые зрители, а кто сгорит от стыда."
55.mp4,55.txt,Развлечения,"СarJitsu. 2 сезон, 3 серия. Акимбо vs Александр Корягин","CarJitsu — бои в формате POP MMA, где в вместо ринга бойцы сражаются в салоне автомобиля. В этом выпуске одни из сильнейших атлетов нашего времени, парни с сильными руками Максим Битаров и Александр Корягин! Узнайте, осталось ли что-то от машины, в которой они встретились! Комментирует YURI THE PROFESSIONAL 18+"
56.mp4,56.txt,Охота и рыбалка,Люди у которых клюет | Выпуск 5 | Ловля осетра на джиг. Поймали крупную щуку. Форель на пасту.,"Отправились полной бандой с девушками на рыбалку на форель! Приготовили куриные ножки в казане по рецепту. Поймали крупную рыбу. А что именно наловили, смотрите в этом видео!"
57.mp4,57.txt,Кулинария,"White Punk, Рамен «Вальгалла» | Kitchen Stories | Выпуск 4","Пока столицу накрывали метели и двадцатиградусные морозы, мы с White Punk’ом приготовили блюдо, способное не просто согреть вас, но и достучится до самых сердечек. Рамен «Вальгалла» - идеальное блюдо для настоящих вампирят!"
58.mp4,58.txt,Лайфстайл,Мама 21 века| Выпуск 3| Общение с ребенком после развода,"Как определить порядок общения с ребенком после развода? Какие права есть у родителей и что делать,  если один из них препятствует общению с ребенком?  Об этом в сегодняшнем выпуске «Мама-21 века» расскажет Марина Дворникова"
59.mp4,59.txt,Охота и рыбалка,Люди у которых клюет | Выпуск 11 | Клев крупной щуки. Приготовили блюдо в казане на природе,"Отправились на новый водоём за зубастой. Крупная щука клюёт как из пулемета. Макс приготовил вкусное блюдо в казане. А кто наконец то поймал щуку, смотрите на видео."
60.mp4,60.txt,Детям,Лесенка знаний: мастерство I 3 серия I Каменщик,"Лизе и Максу нужен уличный камин для того чтобы пожарить маршмеллоу. Они уверенно берутся за строительство, но вскоре понимают, что у них не хватает знаний. Артур предлагает друзьям поучиться у строителей прошлого."
61.mp4,61.txt,Искусство,"Артмеханика. Выпуск 8. Кастомайзинг как искусство + концерт Parks, Squares and Alleys","Описание выпуска: Бренд и художник, как им найти друг друга?  Куда приведет тенденция к тотальной кастомизации? Скрытый фэшн от Жени Чеса и много еще чего в новом выпуске Артмеханики. Музыкальную часть программы украсили собой Parks, Squares and Alleys."
62.mp4,62.txt,Развлечения,Тру ДЕТЕКТОР I #4,"Вы смотрите шоу с детектором лжи Тру ДЕТЕКТОР! Шоу в котором Кристи Крайм и её молчаливый друг приглашают в гости известных людей и задают им неудобные вопросы под пристальным взором полиграфа.  В этом выпуске, в логово Кристи и Мистера Молчуна попала Саша Кэт и ее друзья, Саша предстала перед подписчиками с новой стороны, как она сама относится к своему контенту и подписчикам, а так же раскрыла секреты своей сексуальной идентичности. Обо всем этом вы  Узнаёте в выпуске.  Что скрывают звёзды и их ближайшее окружение? Какие вопросы они зададут друг другу? И кто окажется самым лживым в компании? Все это узнаёте в шоу Тру Детектор!"
63.mp4,63.txt,Юмор,Полупановы. «Эпизод 11»,"Канал «Антон Протеинов» - / В этом эпизоде Наташа решила вывезти Полупановых в город, чтобы показать им их будущую квартиру."
64.mp4,64.txt,Развлечения,Отмена культуры: Выпуск #6. Оперный режиссёр слушает поп-музыку,"Вместе с экспертом Михаилом Панджавидзе разбираем эпоху музыкального фастфуда: быстрые взлеты и спады популярности артистов. «Артисты-однодневки». Артисты «одного трека», составляющие успеха артиста: талант, образ, шоу, провокация."
